# Most Team Points - SEASON. One row per season: that season's highest total points-for.
# Source: ESPN Hall of Fame > Most Team Points > SEASON (data/screenshots/IMG_2089.PNG, IMG_2090.PNG)
year,team,points
2025,The Elites,2256.28
2024,Le'Voen a prayer,2339.42
2023,The King of Fantasy,2171.86
2022,Go Kart Mozart,2472.18
2021,Le'Voen a prayer,2409.26
2020,Le'Voen a prayer,2432.56
2019,flaccoroni and cheese,2219.00
2018,The Highlanders,2292.76
2017,Le'Voen a prayer,1893.80
2016,The Elites,1952.82
2015,Beats by Ray,1454.59
2014,Turn Down For Watt,2354.06
2013,THE KING OF FANTASY,2484.78
2012,THE KING OF FANTASY,1411.18
