=== CHAMPIONS BY YEAR ===
Year,Champion,Second Place,Third Place
2025,"SCHMIDTY DUCK","The Elites","Le'Voen a prayer"
2024,"Le'Voen a prayer","Turn Down For Watt","flaccoroni and cheese"
2023,"da winning team","Vick's houndogs","Le'Voen a prayer"
2022,"Turn Down For Watt","SCHMIDTY DUCK","Go Kart Mozart"
2021,"Le'Voen a prayer","The Elites","Vick's houndogs"
2020,"Le'Voen a prayer","Rolling With Mahomies","the miracle workers"
2019,"da winning team","flaccoroni and cheese","Le'Voen a prayer"
2018,"The Highlanders","flaccoroni and cheese","Beats by Ray"
2017,"The Elites","Le'Voen a prayer","flaccoroni and cheese"
2016,"da winning team","Le'Voen a prayer","Vick's houndogs"
2015,"Le'Voen a prayer","THE KING OF FANTASY","Turn Down For Watt"
2014,"The Highlanders","The Elites","THE SURF BROS"
2013,"SCHMIDTY DUCK","Stop Look and Lose","THE GUY WHO PICKED UP FOSTER"
2012,"THE KING OF FANTASY","THE FIGHTING IRISH","Milton Mustangs"

=== FINAL STANDINGS (all years) ===
Year,Final Rank,Team,Record
2025,1,"SCHMIDTY DUCK",9-5-0
2025,2,"The Elites",12-2-0
2025,3,"Le'Voen a prayer",9-5-0
2025,4,"Go Kart Mozart",6-8-0
2025,5,"flaccoroni and cheese",6-8-0
2025,6,"Turn Down For Watt",7-7-0
2025,7,"Vick's houndogs",5-9-0
2025,8,"da winning team",6-8-0
2025,9,"The Highlanders",5-9-0
2025,10,"The King of Fantasy",5-9-0
2024,1,"Le'Voen a prayer",12-2-0
2024,2,"Turn Down For Watt",9-5-0
2024,3,"flaccoroni and cheese",8-6-0
2024,4,"da winning team",8-6-0
2024,5,"The King of Fantasy",8-6-0
2024,6,"Vick's houndogs",7-7-0
2024,7,"SCHMIDTY DUCK",5-9-0
2024,8,"The Elites",6-8-0
2024,9,"The Highlanders",4-10-0
2024,10,"Go Kart Mozart",3-11-0
2023,1,"da winning team",9-5-0
2023,2,"Vick's houndogs",8-6-0
2023,3,"Le'Voen a prayer",9-5-0
2023,4,"Turn Down For Watt",10-4-0
2023,5,"The Highlanders",7-7-0
2023,6,"Go Kart Mozart",9-5-0
2023,7,"flaccoroni and cheese",5-9-0
2023,8,"The Elites",2-12-0
2023,9,"SCHMIDTY DUCK",5-9-0
2023,10,"The King of Fantasy",6-8-0
2022,1,"Turn Down For Watt",8-6-0
2022,2,"SCHMIDTY DUCK",10-4-0
2022,3,"Go Kart Mozart",11-3-0
2022,4,"Vick's houndogs",7-7-0
2022,5,"da winning team",8-6-0
2022,6,"The King of Fantasy",7-7-0
2022,7,"Le'Voen a prayer",7-7-0
2022,8,"flaccoroni and cheese",4-10-0
2022,9,"The Elites",2-12-0
2022,10,"The Highlanders",6-8-0
2021,1,"Le'Voen a prayer",10-4-0
2021,2,"The Elites",10-4-0
2021,3,"Vick's houndogs",9-5-0
2021,4,"flaccoroni and cheese",8-6-0
2021,5,"Turn Down For Watt",7-7-0
2021,6,"da winning team",7-7-0
2021,7,"The 2002 Miami Hurricanes",7-7-0
2021,8,"the miracle workers",6-8-0
2021,9,"Rolling With Mahomies",3-11-0
2021,10,"Beats by Ray",3-11-0
2020,1,"Le'Voen a prayer",13-0-0
2020,2,"Rolling With Mahomies",9-4-0
2020,3,"the miracle workers",6-7-0
2020,4,"The Elites",7-6-0
2020,5,"da winning team",7-6-0
2020,6,"Go Kart Mozart",8-5-0
2020,7,"flaccoroni and cheese",4-9-0
2020,8,"Beats by Ray",4-9-0
2020,9,"Vick's houndogs",3-10-0
2020,10,"Turn Down For Watt",4-9-0
2019,1,"da winning team",9-4-0
2019,2,"flaccoroni and cheese",8-5-0
2019,3,"Le'Voen a prayer",8-5-0
2019,4,"Vick's houndogs",8-5-0
2019,5,"The Elites",8-5-0
2019,6,"the miracle workers",7-6-0
2019,7,"Go Kart Mozart",7-6-0
2019,8,"Goff Balls",3-10-0
2019,9,"Beats by Ray",4-9-0
2019,10,"Dak to the future",3-10-0
2018,1,"The Highlanders",10-3-0
2018,2,"flaccoroni and cheese",8-5-0
2018,3,"Beats by Ray",8-5-0
2018,4,"the miracle workers",7-6-0
2018,5,"Le'Voen a prayer",6-7-0
2018,6,"da winning team",7-6-0
2018,7,"Go Kart Mozart",7-6-0
2018,8,"Turn Down For Watt",5-8-0
2018,9,"The Elites",3-10-0
2018,10,"Vick's houndogs",4-9-0
2017,1,"The Elites",9-4-0
2017,2,"Le'Voen a prayer",11-2-0
2017,3,"flaccoroni and cheese",7-6-0
2017,4,"Beats by Ray",8-5-0
2017,5,"da winning team",9-4-0
2017,6,"Vick's houndogs",5-8-0
2017,7,"Turn Down For Watt",8-5-0
2017,8,"28-3",6-7-0
2017,9,"Hernandez' Hitmen",4-9-0
2017,10,"The Highlanders",3-10-0
2017,11,"Why Me",4-9-0
2017,12,"UNLEASH THE BEASLEY",4-9-0
2016,1,"da winning team",7-6-0
2016,2,"Le'Voen a prayer",8-5-0
2016,3,"Vick's houndogs",9-4-0
2016,4,"THE KING OF FANTASY",8-5-0
2016,5,"The Elites",8-5-0
2016,6,"Turn Down For Watt",8-5-0
2016,7,"Hernandez' Hitmen",6-7-0
2016,8,"UNLEASH THE BEASLEY",6-7-0
2016,9,"The Highlanders",6-7-0
2016,10,"Beats by Ray",6-7-0
2016,11,"Injuries Suck",2-11-0
2016,12,"flaccoroni and cheese",4-9-0
2015,1,"Le'Voen a prayer",8-5-0
2015,2,"THE KING OF FANTASY",8-5-0
2015,3,"Turn Down For Watt",10-3-0
2015,4,"flaccoroni and cheese",8-5-0
2015,5,"Geno's Jawdroppers",8-5-0
2015,6,"da winning team",8-5-0
2015,7,"Beats by Ray",8-5-0
2015,8,"The Elites",8-5-0
2015,9,"HIGHLIGHT REEL",5-8-0
2015,10,"2legit2quit",3-10-0
2015,11,"coles untouchables",6-7-0
2015,12,"The Highlanders",7-6-0
2015,13,"LeGarrette ON MY LEVEL",4-9-0
2015,14,"GO CART MOZART",0-13-0
2014,1,"The Highlanders",12-1-0
2014,2,"The Elites",11-2-0
2014,3,"THE SURF BROS",7-6-0
2014,4,"Turn Down For Watt",12-1-0
2014,5,"The fast and the Julio",5-8-0
2014,6,"BULLDOGS",7-6-0
2014,7,"Flaccoroni and cheese",9-4-0
2014,8,"swaggy mc swag",5-8-0
2014,9,"THE KING OF FANTASY",4-9-0
2014,10,"Coles untouchables",2-11-0
2014,11,"SCHMIDTY DUCK",2-11-0
2014,12,"CAMBRIDGE BOY",2-11-0
2013,1,"SCHMIDTY DUCK",10-3-0
2013,2,"Stop Look and Lose",4-9-0
2013,3,"THE GUY WHO PICKED UP FOSTER",9-4-0
2013,4,"The Highlanders",7-6-0
2013,5,"THE KING OF FANTASY",10-3-0
2013,6,"The Elites",8-5-0
2013,7,"THE BIG MAN ON CAMPUS",7-6-0
2013,8,"I'mGonnaWhipMichael",4-9-0
2013,9,"Coles 2nd Team",3-10-0
2013,10,"swaggy mc swag",3-10-0
2012,1,"THE KING OF FANTASY",10-3-0
2012,2,"THE FIGHTING IRISH",3-10-0
2012,3,"Milton Mustangs",10-3-0
2012,4,"The Christian Wolverines",5-8-0
2012,5,"Vipers",6-7-0
2012,6,"coles untouchables",5-8-0

=== REGULAR SEASON STANDINGS (all years) ===
Year,Division,Reg Season Rank,Team,W,L,T,PCT
2025,"Division 1",1,"The King of Fantasy",5,9,0,.357
2025,"Division 1",1,"da winning team",6,8,0,.429
2025,"Division 1",1,"The Highlanders",5,9,0,.357
2025,"Division 1",1,"Vick's houndogs",5,9,0,.357
2025,"Division 1",5,"The Elites",12,2,0,.857
2025,"Division 1",6,"SCHMIDTY DUCK",9,5,0,.643
2025,"Division 1",7,"Le'Voen a prayer",9,5,0,.643
2025,"Division 1",8,"Turn Down For Watt",7,7,0,.500
2025,"Division 1",9,"Go Kart Mozart",6,8,0,.429
2025,"Division 1",10,"flaccoroni and cheese",6,8,0,.429
2024,"Division 1",1,"The Elites",6,8,0,.429
2024,"Division 1",1,"Go Kart Mozart",3,11,0,.214
2024,"Division 1",1,"The Highlanders",4,10,0,.286
2024,"Division 1",1,"SCHMIDTY DUCK",5,9,0,.357
